length,width,height,weight,size,pixels,apple_chip,Mediatek-chip,Exynos-chip,Snapdragon-chip,Unisoc-chip,other-chip,number_of_cores,apple-gpu,Adreno-gpu,mali-gpu,PowerVR-gpu,IMG-gpu,other-gpu,internal_memory,ram,5g,module-no,image-resolution,ios,battery,battery-wat,price
163.7,74.8,7.9,192.0,6.47,401,0,0,0,1,0,0,6,0,1,0,0,0,0,256,8,1,4,48,0,4160,20,7750000
164.9,77.1,9.0,194.0,6.53,269,0,1,0,0,0,0,8,0,0,0,1,0,0,64,4,0,1,13,0,5000,20,4009900
135.5,56.0,14.1,98.0,2.8,143,0,0,0,0,1,0,1,0,0,0,0,0,1,16,0.008,0,1,0.08,0,1150,20,1749000
157.9,74.0,8.9,120.0,6.09,282,0,0,0,0,1,0,8,0,0,0,1,0,0,32,3,0,3,13,0,3500,20,2399000
169.9,77.9,8.8,195.0,6.52,269,0,0,0,0,1,0,8,0,0,0,0,1,0,32,2,0,1,8,0,3000,20,2746000
160.1,74.1,7.6,169.0,6.57,392,0,0,0,0,0,0,6,0,0,1,0,0,0,128,8,0,4,64,0,3220,66.0,9990000
159.9,75.1,8.4,189.0,6.5,407,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,0,4,64,0,4500,25.0,7650000
163.2,73.6,8.7,197.0,6.7,525,0,0,0,1,0,0,8,0,1,0,0,0,0,256,12,0,4,48,0,4500,65.0,27000000
169.9,77.9,8.8,191.0,5.5,269,0,0,0,0,1,0,8,0,0,1,0,0,0,32,2,0,1,5,0,3000,20,2320000
165.5,77.0,8.4,198.0,6.6,400,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,1,3,50,0,5000,25.0,7289000
112.0,46.0,13.8,70.0,1.77,300,0,0,0,0,0,1,1,0,0,0,0,0,1,32,0.032,0,0,0,0,800,20,298000
151.7,71.2,7.9,169.0,6.2,421,0,0,1,0,0,0,8,0,0,1,0,0,0,256,8,1,3,64,0,4000,25.0,27399000
159.3,74.0,8.4,180.0,6.4,411,0,1,0,0,0,0,8,0,0,1,0,0,0,128,8,0,4,64,0,5000,25.0,7030000
159.0,75.1,9.0,192.0,6.4,403,0,0,1,0,0,0,8,0,0,1,0,0,0,64,4,0,3,48,0,6000,15.0,4599000
161.2,75.6,9.6,192.0,6.5,405,0,1,0,0,0,0,8,0,0,1,0,0,0,128,6,0,4,50,0,6000,18.0,5065000
